,datetime,SPY,QQQ,IWM,VTI,EFA,EEM,IJH,GLD,IYR,TAN,LIT,FXI,ARKK,VGT,XLF,XLV,XLY,XLI,GOVT,LQD,HYG,XLK,XLE
291,2006-03-01,92.00097317047036,35.8692821309997,57.651529588208035,,38.503935700775536,23.311895619379023,60.682971843753,56.02000045776367,36.771185779379046,,,16.726566978295036,,43.36451575188902,18.663777359674448,24.11958857425015,26.68263397155456,,,54.593331756301026,,17.140906753124856,32.211909637246954
292,2006-03-02,92.2155794325929,36.147692537778646,58.35664080868532,,38.36920127781588,23.63815109818951,61.19825376884991,56.150001525878906,36.604444937111275,,,16.862219595706758,,43.7443787329788,18.623855302619685,24.149304919185283,26.690604836381137,,,54.33820945289194,,17.32208432343947,32.615023706307646
293,2006-03-03,92.05105661088572,36.060699462890625,58.00011344415949,,38.265085305071175,23.45001593679983,61.088922554252875,56.47999954223633,36.47418765168372,,,16.89901013119478,,43.675322570175766,18.538326945407178,24.052705949716085,26.595073730188123,,,54.28722177301275,,17.23543025752141,32.74937815241636
294,2006-03-06,92.38728698110697,36.13900871526065,58.1506667724487,,38.52843161445559,23.528603558954224,61.448038203357775,56.40999984741211,36.552345550928706,,,16.97028461582373,,43.70985057423186,18.544023738019312,24.045270002367964,26.59508130059441,,,54.10353624337289,,17.432368550598664,32.767714102717136
295,2006-03-07,91.47158281014154,35.68659850619289,57.318807167057116,,37.81800164784036,22.58555658651763,60.1364878884593,55.33000183105469,36.99525065300464,,,16.393188577235556,,43.16595622902653,18.424274791893268,23.852082437198668,26.388113819385417,,,53.91472703623052,,17.156663981037184,31.772154249751427
296,2006-03-08,91.35709154705681,35.460404364950406,56.60577378530757,,37.67102829189749,22.168803695810976,59.4104495469823,54.209999084472656,36.474192006833576,,,16.002327180690706,,42.77747390223976,18.566836628268177,23.87437883913197,26.292590488476883,,,53.858629804344424,,17.14090164850721,31.130848263045497
297,2006-03-09,91.77203862059083,35.669203898484994,56.93852037981165,,38.08135198060477,22.433141459705336,59.82424398193814,54.599998474121094,36.74513871624697,,,16.11728544955341,,43.14006531546794,18.561137303812036,24.149308673223317,26.419954265637955,,,53.75145229620647,,17.227557675765706,31.759941424880093
298,2006-03-10,91.36426648170817,35.21683028629023,56.56614755335612,,38.0446058858885,22.49267616327053,59.43385694057181,53.220001220703125,37.1255134300715,,,16.00232976623079,,42.49257184451567,18.504104830079804,24.06756523384387,26.35627528824576,,,53.81781660791674,,17.062125266903585,31.088114902257644
299,2006-03-13,92.17268508613246,35.44303105377032,57.516845929946925,,38.65704932127498,22.609369675256712,60.13650267818689,54.09000015258789,37.49548314956821,,,16.292020678704453,,42.93287263904357,18.663776089129204,24.24590493165629,26.57915527642199,,,53.82797735032481,,17.196047084836543,31.570602448312684
300,2006-03-14,92.07966788018543,35.35601480414466,57.26332664237138,,38.73666430765871,22.46172208471007,60.34729571782727,54.22999954223633,37.26620552400236,,,16.266729738908435,,42.855175680528056,18.629553841301064,24.082433493471136,26.51548217052773,,,54.0780271122459,,17.148776908420565,32.126410718700484
