,datetime,SPY,QQQ,IWM,VTI,EFA,EEM,IJH,GLD,IYR,TAN,LIT,FXI,ARKK,VGT,XLF,XLV,XLY,XLI,GOVT,LQD,HYG,XLK,XLE,VIT
1073,2009-04-08,63.16686248779297,28.11445426940918,36.300575256347656,,25.982532501220703,20.15877914428711,41.39705276489258,86.61000061035156,16.59644889831543,54.89755630493164,,21.990995407104492,,,5.808406352996826,18.875974655151367,17.47319793701172,14.805975914001465,,56.543827056884766,30.467391967773438,,28.25891876220703,
1074,2009-04-09,65.67727661132812,28.985591888427734,38.42619705200195,,26.677427291870117,21.039499282836914,43.53982925415039,86.30999755859375,18.577285766601562,57.7242431640625,,22.956838607788086,,,6.711235046386719,18.962417602539062,18.18705940246582,15.53414535522461,,56.92387390136719,31.33417320251465,,29.088176727294922,
1075,2009-04-13,65.692626953125,28.94160270690918,38.44267654418945,,26.942155838012695,21.167469024658203,43.53169250488281,87.87999725341797,18.814987182617188,57.87302780151367,,23.187490463256836,,,6.9953389167785645,19.111730575561523,18.195363998413086,15.5796537399292,,57.47270202636719,31.3125,,28.769229888916016,
1076,2009-04-14,64.55984497070312,28.58962059020996,37.33042526245117,,26.684045791625977,20.82872200012207,42.47254180908203,87.37000274658203,17.27297592163086,59.21198272705078,,23.11540985107422,,,6.534458637237549,19.02528953552246,17.788625717163086,15.352100372314453,,57.62351608276367,31.152128219604492,,28.692676544189453,
1077,2009-04-15,65.2486801147461,28.510433197021484,37.8989143371582,,27.034801483154297,21.129823684692383,42.920631408691406,87.5,18.686996459960938,60.25341033935547,,23.85059928894043,,,6.850131988525391,19.135299682617188,17.84672737121582,15.4962158203125,,58.069801330566406,31.416501998901367,,28.7309627532959,
1078,2009-04-16,66.20542907714844,29.249576568603516,38.99467849731445,,27.206872940063477,21.31048583984375,44.134605407714844,85.80999755859375,19.44886016845703,60.40216827392578,,23.742488861083984,,,6.925893783569336,19.22174644470215,18.46929359436035,16.01957893371582,,58.31710433959961,31.914899826049805,,28.864919662475586,
1079,2009-04-17,66.64933013916016,29.311176300048828,39.340721130371094,,27.114215850830078,21.159936904907227,44.615291595458984,85.22000122070312,19.64388656616211,58.76565933227539,,23.382099151611328,,,7.0142822265625,19.441781997680664,18.69340705871582,16.01200294494629,,58.24469757080078,32.612667083740234,,29.203001022338867,
1080,2009-04-20,63.85569381713867,28.369619369506836,37.32218933105469,,26.002389907836914,20.128660202026367,42.39104080200195,86.94999694824219,17.54115104675293,53.11226272583008,,22.61086082458496,,,6.231409072875977,19.064577102661133,17.97954750061035,15.306591033935547,,57.92502975463867,31.420825958251953,,27.786865234375,
1081,2009-04-21,65.10326385498047,28.76561737060547,38.61569595336914,,26.598005294799805,20.557729721069336,43.54798126220703,86.88999938964844,19.14411163330078,54.15367889404297,,23.230735778808594,,,6.692293167114258,18.883838653564453,18.278371810913086,15.678257942199707,,58.10595703125,31.776222229003906,,28.335464477539062,
1082,2009-04-22,64.70527648925781,28.853599548339844,38.60744857788086,,26.38623046875,20.38460350036621,43.62946319580078,87.37999725341797,18.4980525970459,55.938961029052734,,22.445087432861328,,,6.4523820877075195,18.679523468017578,18.46099281311035,15.920974731445312,,57.96125030517578,31.927902221679688,,28.035642623901367,
1083,2009-04-23,65.34051513671875,29.135190963745117,38.516822814941406,,27.04803466796875,20.700761795043945,43.60501480102539,88.80000305175781,19.266008377075195,56.757225036621094,,22.855926513671875,,,6.755429267883301,18.695234298706055,18.46099281311035,16.09543800354004,,57.912994384765625,31.893230438232422,,28.558731079101562,
1084,2009-04-24,66.3278579711914,29.64556312561035,39.23360061645508,,27.464981079101562,21.092187881469727,44.60715103149414,89.72000122070312,20.283863067626953,56.534053802490234,,23.295604705810547,,,6.906951904296875,18.67165756225586,18.917530059814453,16.429174423217773,,58.03963088989258,32.38731002807617,,29.387989044189453,
