datetime,ARKK,BND,EEM,EFA,FXI,GLD,GOVT,HYG,IJH,IWM,IYR,LIT,LQD,QQQ,SCHE,SPY,TAN,VGK,VGT,VTI,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2014-01-16,,62.975464608674514,33.11673109752128,51.49444432281182,28.882210538446746,119.83999633789062,21.057449340820312,57.776589917935446,117.03951027319872,102.62010734734301,47.4547486819751,23.312116752094266,85.32697593601046,81.3951637326612,18.807833350502044,155.54814928946305,37.75304270695601,43.44280834307296,82.6252070631019,81.41011286423377,38.04808963276461,59.574124157179206,14.99645851716934,43.640017734741015,31.606365481775928,33.17042266418561,27.831470995536495,49.03281789820665,58.657409661898704
2014-01-17,,63.00672843011728,32.960062099293495,51.53291351947151,28.802048713666686,120.3499984741211,21.066062927246094,57.801215355722675,117.04819408345202,102.85001435228575,47.67485781878938,23.15388945813049,85.30476705145651,81.22002855906456,18.736861019066385,155.39629623747578,38.289810294963665,43.39127159918264,82.49740659525675,81.36768620174843,38.22235129542813,59.914068198119075,14.962498924620173,43.530963790001245,31.527301178545,33.233203851965406,28.067330998467696,49.17066382603353,58.33600616304305
2014-01-21,,63.04576731850843,32.98480525312528,51.702163988765015,28.874194239885913,119.2300033569336,21.07468262635854,57.844337463378906,117.54329889787404,103.22140865394054,47.61616005598649,23.435183902131264,85.36403754714198,81.5241962788709,18.705316198862953,155.9027346278952,37.38624643349211,43.51644051818627,82.6343482188128,81.67282281018575,38.50450743009383,60.094453753040824,14.976080189896111,43.681953896427345,31.650295262132794,33.10764827117306,28.155773697288307,49.36878915220914,58.30921947421409
2014-01-22,,63.014464566437056,33.03427819374663,51.63292283353709,29.106667551255022,119.6500015258789,21.048819366128882,57.862832451739926,117.36955514167443,103.18604638710168,47.86560110691699,23.0308266927866,85.28256198244534,81.83763122558594,18.697436642160884,155.72547243780338,36.95682582377568,43.45754450740021,82.50653617221943,81.59654518791817,38.30533671007391,60.3095346137487,14.935332472641585,43.67356877903171,31.527311325073246,33.16257895026207,28.376898126292424,49.437703398695064,58.157428497606034
2014-01-23,,63.076971632034684,32.795130032016296,51.463665908132185,28.54552981281865,120.97000122070312,21.091925004585075,57.77041991983527,117.15239830360808,103.21255075078055,47.78489975656053,22.96050357320511,85.32698285860566,81.58872624789277,18.681662837109165,154.7801601665379,36.616874278335764,43.58270790113339,82.36046166549228,81.17274934970047,37.83233100894885,60.115280620168306,14.84703498879515,43.38834723295327,31.386760327755294,33.02131951774114,28.340041481194184,49.24818400474441,58.050293032616594
2014-01-24,,63.24877560829553,31.954021103734327,50.540414736263884,27.840114261799812,122.05999755859375,21.160872547247003,57.573285220006326,116.10136699391903,102.30174894393642,47.733548558511664,22.661626441703035,85.52693444761651,81.16470398562916,18.21639475906816,153.28606021881527,35.051281844321906,42.73594965496089,81.97700366098864,80.3251569808172,37.0854930115206,59.39376375679041,14.595737744248417,42.8346731681411,31.33404036339977,32.801600010769306,28.258970442498367,48.808863896803246,57.4521217960571
2014-01-27,,63.30344454079115,31.574699403393566,49.917216409473845,27.51144470261778,121.6500015258789,21.143635185401408,57.38233327522502,113.9905892749755,100.6127779481432,47.24197716662857,22.204530117708533,85.36400108684076,79.95714918652851,17.853642186694973,151.14206083741166,33.23520075457282,42.13951850373849,80.52532131871325,79.09617801375848,36.454816071641595,58.6097770334551,14.358021060001937,41.97897234831969,30.903602738907043,32.566184672157206,28.04521973568344,47.93019323541994,56.80037314725673
2014-01-28,,63.25658182588328,31.615927996901597,49.901832841330645,27.607639743460833,121.31999969482422,21.143635185401408,57.35767701382774,113.00906231619199,98.97688350453342,46.992521187564115,22.186947497640837,85.46032366150924,78.81411977447563,17.751130119236844,150.36549070071814,34.80078876266443,42.17634223645085,79.03718394896582,78.73170854462877,36.479705215123154,58.43634434010142,14.324061072354953,41.953805900676734,30.297492984557568,32.47201960286065,28.133669524879664,47.861272570104575,56.69323337736197
2014-01-29,,63.33465737187616,31.19536443678011,49.44019875285888,27.527478555455907,122.19000244140625,21.178112030029297,57.44393445947191,112.64424800502024,98.93266362743559,47.087901703449944,21.888075076315356,85.69728212421927,78.45459045863892,17.656495533306337,149.8928514587992,34.39821334026333,41.741914523423375,78.69934521996666,78.545256334934,36.180963687920745,58.228222873978666,14.283306550341571,41.7860275140057,30.130578330159658,32.456318346758316,28.04521301377374,47.86990287379832,56.37181060911042
2014-01-30,,63.342467529272,31.59943713003707,49.747945936993936,27.944318395308866,119.66999816894531,21.17812308048764,57.47472157248623,113.5736587217914,99.3306026128945,47.315336577281705,22.15178695133308,85.77876869274648,79.24738468657479,17.727468043228743,150.94793890424884,35.65067580781163,41.9554575120767,79.43887382538954,79.01992153823471,36.80333333235558,58.810976215631314,14.398772249374039,42.14675539499993,30.50832070456457,32.21305110516466,28.192630844218698,48.231705053849005,56.34503954140446
